serial_no,title,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,file_name
37,Use of Electronic Indian Postal Order (e-IPO) (22 October 2014),109,109,121,121,37_use_of_electronic_indian_postal_order_2014_printed_109-109.pdf
38,e-IPI / Electronic Indian Postal Order was launched (12 August 2014),109,109,121,121,38_e_ipi_electronic_indian_postal_order_launched_printed_109-109.pdf
39,Electronic Indian Postal Order: launching of (22 March 2013),110,110,122,122,39_electronic_indian_postal_order_launch_2013_printed_110-110.pdf
40,Electronic Indian Postal Order: extension to Indian citizens residing in India (15 February 2014),111,111,123,123,40_electronic_indian_postal_order_extension_2014_printed_111-111.pdf
41,Fee payment under Section 7(3): scope (24 May 2010),112,113,124,125,41_section_7_3_fee_payment_scope_2010_printed_112-113.pdf
42,Direction concerning Section 7(3)(a) (21 August 2014),114,114,126,126,42_section_7_3_a_direction_2014_printed_114-114.pdf
43,Exemption from provisions of the Act,114,115,126,127,43_exemption_from_rti_provisions_printed_114-115.pdf
44,Clarification on exemption from provisions of RTI Act (16 June 2022),115,116,127,128,44_clarification_on_exemption_from_rti_provisions_2022_printed_115-116.pdf
45,Instruction for effective implementation of the Act (25 March 2006),116,117,128,129,45_effective_implementation_instruction_2006_printed_116-117.pdf
46,Effective implementation of the Act (19 August 2011),117,118,129,130,46_effective_implementation_instruction_2011_printed_117-118.pdf
47,"Strengthening Implementation of the RTI Act, 2005 (18 May 2011)",118,119,130,131,47_strengthening_rti_implementation_2011_printed_118-119.pdf
48,Proper implementation of provisions of the Act (14 November 2013),119,121,131,133,48_proper_implementation_of_rti_provisions_2013_printed_119-121.pdf
49,Updated Government of India RTI Manual / Guide,121,145,133,157,49_government_of_india_rti_manual_updated_printed_121-145.pdf
50,Departmental information: proactive disclosure on the internet (18 November 2011),146,146,158,158,50_departmental_information_proactive_disclosure_2011_printed_146-146.pdf
51,Proactive disclosure under Section 4 (14 August 2015),146,147,158,159,51_section_4_suo_motu_disclosure_2015_printed_146-147.pdf
52,"Implementation of Suo Motu Disclosure under Section 4 of RTI Act, 2005 (29 June 2015)",147,147,159,159,52_implementation_suo_motu_disclosure_section_4_2015_printed_147-147.pdf
53,Government instructions concerning preparation under RTI Act (16 September 2006),148,148,160,160,53_government_instructions_on_rti_act_preparation_2006_printed_148-148.pdf
54,Section 19(8)(a): ensuring availability of records (11 February 2014),149,149,161,161,54_section_19_8_a_records_availability_2014_printed_149-149.pdf
55,Action on recommendations sent by Chhattisgarh SIC under Section 25(3) (27 September 2010),149,150,161,162,55_sic_annual_report_recommendations_action_2010_printed_149-150.pdf
56,"Action on Chhattisgarh State Information Commission Annual Report, 2011",150,155,162,167,56_cg_sic_annual_report_2011_action_printed_150-155.pdf
57,Appointment of officers under the Act (21 November 2005),155,155,167,167,57_appointment_of_public_authority_officers_2005_printed_155-155.pdf
58,Appointment of public authority under the Act (14 August 2013),156,156,168,168,58_appointment_of_public_authority_2013_printed_156-156.pdf
59,Bombay High Court at Goa: Dr. Celsa Pinto v. Goa State Information Commission,157,157,169,169,59_dr_celsa_pinto_vs_goa_state_information_commission_printed_157-157.pdf
60,Bombay High Court at Goa decision dated 03 April 2008,157,158,169,170,60_bombay_high_court_goa_decision_3_april_2008_printed_157-158.pdf
61,High Court observations concerning Sections 2 and 3,158,158,170,170,61_high_court_observations_sections_2_and_3_printed_158-158.pdf
62,Supreme Court: CBSE v. Aditya Bandopadhyay,159,161,171,173,62_supreme_court_cbse_vs_aditya_bandopadhyay_printed_159-161.pdf
63,Disclosure of personal information under the RTI Act,161,161,173,173,63_disclosure_of_personal_information_under_rti_printed_161-161.pdf
64,Submissions of respondent and third party,162,163,174,175,64_submissions_of_respondent_and_third_party_printed_162-163.pdf
65,Maintenance of register under the Act (25 October 2005),164,164,176,176,65_maintenance_of_register_under_rti_2005_printed_164-164.pdf
66,Review of progress of RTI Act implementation (07 November 2005),165,165,177,177,66_review_of_rti_implementation_progress_2005_printed_165-165.pdf
67,Entries in confidential character rolls of government servants (14 August 2013),165,166,177,178,67_confidential_character_roll_entries_2013_printed_165-166.pdf
68,Validity of ration card (27 June 2011),166,167,178,179,68_validity_of_ration_card_2011_printed_166-167.pdf
69,Chhattisgarh Government Circular No. 416/TH-668/2011/1-13,167,168,179,180,69_cg_government_circular_416_th_668_2011_printed_167-168.pdf
70,Proper implementation of provisions of RTI Act (10 May 2022),168,170,180,182,70_proper_implementation_rti_act_2022_printed_168-170.pdf
71,Section 4(1)(b): upload departmental information on website (13 March 2020),171,171,183,183,71_section_4_1_b_departmental_information_upload_2020_printed_171-171.pdf
72,Section 7(8): communicate reasons for rejection (18 July 2019),171,172,183,184,72_section_7_8_reason_for_rejection_2019_printed_171-172.pdf
73,Deposit of RTI fee received by money order (16 July 2021),172,172,184,184,73_money_order_fee_deposit_2021_printed_172-172.pdf
74,"Meeting chaired by Chief Information Commissioner, Chhattisgarh SIC (08 October 2018)",172,174,184,186,74_chief_information_commissioner_chairmanship_meeting_2018_printed_172-174.pdf
75,RTI fee paid through Postal Order (26 September 2019),174,175,186,187,75_postal_order_rti_fee_2019_printed_174-175.pdf
76,Information requested under RTI Act (09 July 2024),175,175,187,187,76_information_requested_under_rti_2024_printed_175-175.pdf
77,Supply of information under RTI Act (09 July 2024),175,176,187,188,77_supply_information_under_rti_2024_printed_175-176.pdf
78,Important guidelines for Public Information Officers and First Appellate Authorities,177,179,189,191,78_important_guidelines_for_pios_and_faas_printed_177-179.pdf
79,Form 1: RTI Application Form,180,180,192,192,79_form_1_rti_application_printed_180-180.pdf
80,Form 2: First Appeal Application Form,181,182,193,194,80_form_2_first_appeal_application_printed_181-182.pdf
81,Form 3: Second Appeal Application to Chhattisgarh SIC,183,185,195,197,81_form_3_second_appeal_application_printed_183-185.pdf
